,Pavadinimas,Ketvirtis,Vertė
337,Šiluminės elektrinės,2019-Q1,0.179
338,Kruonio HAE,2019-Q1,0.069
339,Hidroelektrinės,2019-Q1,0.14
340,Vėjo elektrinės,2019-Q1,0.464
341,Kiti atsinaujinantys energijos ištekliai,2019-Q1,0.141
342,"     Elektrinės, kūrenamos biomase    ",2019-Q1,0.077
343,"     Elektrinės, kūrenamos biodujomis",2019-Q1,0.035
344,     Saulės energijos elektrinės,2019-Q1,0.009
345,     Atliekų deginimo elektrinės,2019-Q1,0.02
346,Baterijų technologijos,2019-Q1,0.0
347,Komercinis sistemos balansas (-Importas/+eksportas),2019-Q1,-2.333
348,Elektros energijos gamyba (Neto),2019-Q2,0.798
349,Šiluminės elektrinės,2019-Q2,0.174
350,Kruonio HAE,2019-Q2,0.124
351,Hidroelektrinės,2019-Q2,0.08
352,Vėjo elektrinės,2019-Q2,0.295
353,Kiti atsinaujinantys energijos ištekliai,2019-Q2,0.125
354,"     Elektrinės, kūrenamos biomase    ",2019-Q2,0.039
355,"     Elektrinės, kūrenamos biodujomis",2019-Q2,0.034
356,     Saulės energijos elektrinės,2019-Q2,0.037
357,     Atliekų deginimo elektrinės,2019-Q2,0.014
358,Baterijų technologijos,2019-Q2,0.0
359,Komercinis sistemos balansas (-Importas/+eksportas),2019-Q2,-2.245
360,Elektros energijos gamyba (Neto),2019-Q3,0.888
361,Šiluminės elektrinės,2019-Q3,0.181
362,Kruonio HAE,2019-Q3,0.266
363,Hidroelektrinės,2019-Q3,0.044
364,Vėjo elektrinės,2019-Q3,0.265
365,Kiti atsinaujinantys energijos ištekliai,2019-Q3,0.132
366,"     Elektrinės, kūrenamos biomase    ",2019-Q3,0.047
367,"     Elektrinės, kūrenamos biodujomis",2019-Q3,0.036
368,     Saulės energijos elektrinės,2019-Q3,0.031
369,     Atliekų deginimo elektrinės,2019-Q3,0.018
370,Baterijų technologijos,2019-Q3,0.0
371,Komercinis sistemos balansas (-Importas/+eksportas),2019-Q3,-2.344
372,Elektros energijos gamyba (Neto),2019-Q4,0.961
373,Šiluminės elektrinės,2019-Q4,0.192
374,Kruonio HAE,2019-Q4,0.124
375,Hidroelektrinės,2019-Q4,0.078
376,Vėjo elektrinės,2019-Q4,0.429
377,Kiti atsinaujinantys energijos ištekliai,2019-Q4,0.137
378,"     Elektrinės, kūrenamos biomase    ",2019-Q4,0.07
379,"     Elektrinės, kūrenamos biodujomis",2019-Q4,0.04
380,     Saulės energijos elektrinės,2019-Q4,0.006
381,     Atliekų deginimo elektrinės,2019-Q4,0.021
382,Baterijų technologijos,2019-Q4,0.0
383,Komercinis sistemos balansas (-Importas/+eksportas),2019-Q4,-2.421
384,Elektros energijos gamyba (Neto),2020-Q1,1.206
385,Šiluminės elektrinės,2020-Q1,0.233
386,Kruonio HAE,2020-Q1,0.193
387,Hidroelektrinės,2020-Q1,0.116
388,Vėjo elektrinės,2020-Q1,0.517
389,Kiti atsinaujinantys energijos ištekliai,2020-Q1,0.147
390,"     Elektrinės, kūrenamos biomase    ",2020-Q1,0.077
391,"     Elektrinės, kūrenamos biodujomis",2020-Q1,0.038
392,     Saulės energijos elektrinės,2020-Q1,0.013
393,     Atliekų deginimo elektrinės,2020-Q1,0.019
394,Baterijų technologijos,2020-Q1,0.0
395,Komercinis sistemos balansas (-Importas/+eksportas),2020-Q1,-2.237
396,Elektros energijos gamyba (Neto),2020-Q2,1.153
397,Šiluminės elektrinės,2020-Q2,0.435
